id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1449018680294137860,Shuja Ahmed Ch.,"Dubai, UAE",,2009-08-02 20:52:11,409,619,199,FALSE,2021-10-15 14:25:49,"Data supports the use of their vaccine in children aged between five and less than 12 years

#PfizerBiontech… https://t.co/Oc5O0x21PX",['PfizerBiontech'],Microsoft Power Platform,0,0,FALSE
1449014973816999939,Khaleej Times,United Arab Emirates,"The official Twitter feed of Khaleej Times, the UAE's first and leading English daily
https://t.co/OaJ0rBBfak",2009-01-11 07:56:56,728540,1225,293,TRUE,2021-10-15 14:11:05,"Data supports the use of their vaccine in children aged between five and less than 12 years

#PfizerBiontech… https://t.co/bCoxvB96ul",['PfizerBiontech'],Twitter Web App,3,5,FALSE
1448967814832738304,Jonathan Hicap,,"Journalist, Manila Bulletin. Covers news and Hallyu. Covering K-pop since 2009. Former Korea Times correspondent
Email: sangchusan(at)https://t.co/N8GNSmiLuw
#MTAMO",2010-04-02 08:56:23,2004,339,18557,TRUE,2021-10-15 11:03:42,"MANILA BULLETIN: Over 283,000 individuals now fully vaccinated in #Muntinlupa vs COVID-19 
https://t.co/QpW0NvsfIW… https://t.co/sPI7QjfVOK",['Muntinlupa'],Twitter Web App,0,1,FALSE
1448963209466159140,Bojana Bogojevic 🌍,"Belgrade, Republic of Serbia","Lawyer,Spec.Corporate Governance;UN #ClimateChange #SDGs  Expert;Climate Reality Leader;Author;Lecturer",2014-12-26 22:24:00,532,1123,7214,FALSE,2021-10-15 10:45:24,"Booster - @pfizer  
@BioNTech_Group
#Pfizervaccine #PfizerBiontech #TogetherWeCan  #VaccineMandate #vaccination… https://t.co/Z8E19sVSkN","['Pfizervaccine', 'PfizerBiontech', 'TogetherWeCan', 'VaccineMandate', 'vaccination']",Twitter for Android,0,3,FALSE
1448943309699813387,Mrs S.P.,"Catalonia, Spain",🇯🇲🇪🇸 #CataMaican living 🎤🎼 Soprano & Stay-at-Home Parent to #BabyPS,2011-07-31 03:15:49,513,584,51797,FALSE,2021-10-15 09:26:19,Finally fully vaccinated against this virus. What a relief! #PfizerBiontech #PfizerVaccine,"['PfizerBiontech', 'PfizerVaccine']",Twitter for iPhone,0,17,FALSE
1448891274639994884,"Orlando I P Ginting,S.T.",Medan-Sumut-Indonesia,"Christian,Christ-follower,Cohen at Kehillah Messianic.Bekerja di ladang Tuhan.~Keselamatan pujianku,Adonai Yeshua HaMashiakh pembebasku~",2021-10-08 02:06:32,1,7,43,FALSE,2021-10-15 05:59:33,This is the Pfizer senior director that sent out mass emails to tell employees not to speak of the fetal cell tissu… https://t.co/NG7Q2kOXOk,,Twitter Web App,5,5,FALSE
1448867418294554626,👨🏻‍🦼,Your Wallet,{He • Him} ° hey besties ♡ |                        i have no idea what ima tweet next,2016-07-07 03:43:55,57,85,2878,FALSE,2021-10-15 04:24:45,I GET MY BOOSTER SHOT TOMORROW! ✨🤩 #covid #PfizerBiontech https://t.co/r4MGAQh24D,"['covid', 'PfizerBiontech']",Twitter for iPhone,0,0,FALSE
1448790854022406149,Raah TV,"Karachi,Pakistan","Pakistan's First Web Channel.⠀
Kindly Follow us on Facebook and YouTube. Thanks.⠀
#RaahTV⠀
https://t.co/dOOiShOXsB⠀
https://t.co/jyOwyMVig7",2011-09-29 09:44:29,4980,66,39,FALSE,2021-10-14 23:20:31,"U.S. Sends 2.4 Million More Doses of Covid-19 Vaccines to Pakistan 
Click the link for details:… https://t.co/1T7lkXtLTN",,TweetDeck,0,1,FALSE
1448787871490613251,Frida,"Milano, Lombardia",,2020-07-14 14:33:44,58,119,919,FALSE,2021-10-14 23:08:40,Watch brave #Pfizer scientist #vanessagelman when asked by #ProjectVeritas giornalist about #fetalcells as per rece… https://t.co/9ETfNkSQRc,"['Pfizer', 'vanessagelman', 'ProjectVeritas', 'fetalcells']",Twitter for Android,0,1,FALSE
1448644056133767168,Daily Rahemanzil,Jammu,"The official twitter handle of Daily Rahemanzil, The Leading Daily.",2020-10-15 11:43:00,15,10,9,FALSE,2021-10-14 13:37:12,"Mixing Covid vaccines produces as much or more antibodies as using the same shot as a booster, according to prelimi… https://t.co/OmdsN1ErLU",,Twitter for Android,0,0,FALSE
1448571588996210688,Anna Elise Scholten,,"Queen of the World, James 4:17

New International Version

17 If anyone, then, knows the good they ought to do and doesn’t do it, it is sin for them.(A)",2021-03-11 11:59:56,30,796,138,FALSE,2021-10-14 08:49:14,"Just got my 3e corona vaccination in Leiden, I never saw such a beautiful vaccination location. Thank you for this… https://t.co/m28hXKj13c",,Twitter for Android,0,0,FALSE
1448557769833914375,Focus Taiwan (CNA English News),Central News Agency (CNA),"Daily news from & about Taiwan, local paper headlines, and photos of the day. Retweet! Follow FB: @focus.tw Insta: @focus_tw",2009-07-27 06:41:57,55298,838,3373,FALSE,2021-10-14 07:54:19,"Taiwan on Thursday received a new shipment of the #PfizerBioNTech (BNT) COVID-19 vaccine, comprising 827,000 doses,… https://t.co/Yyhbh2dhTx",['PfizerBioNTech'],Twitter Web App,4,18,FALSE
1448554366412070912,Linh Chameleon,,"I love films, theatre, books and music http://t.co/RVNOiiqyii",2009-04-21 11:52:00,488,457,41287,FALSE,2021-10-14 07:40:48,"Goodbye AstraZeneca (Vaxzevria) vaccine! It killed a few too many people, caused vaccine hesistancy and Australia w… https://t.co/bUyVNb2IzD",,Twitter for Android,0,0,FALSE
1448550706135306246,Real Adam Addison,,"Freemasons founded America, Hollywood, Mainstream Media, Religions and they still control it all. Please make sure you follow me on Free To Find Truth!!! 👇😊",2021-01-06 08:22:16,199,1464,681,FALSE,2021-10-14 07:26:15,"I've been gas lit about my vaccine injury since I was 5!💉🤕

https://t.co/hKlE7YDkTI

#MandatesAreNotALaw… https://t.co/zHFGok9EEQ",['MandatesAreNotALaw'],Twitter for Android,0,0,FALSE
1448537902837862402,Gulf News,United Arab Emirates,We don't just cover the news - we uncover the truth. The official Twitter feed from Gulf News.,2009-02-11 08:21:32,1288571,221,941,TRUE,2021-10-14 06:35:23,"Third dose of #PfizerBioNTech: Are you eligible?

#DHA clarifies eligible categories for third dose of the #COVID19… https://t.co/CYqijXHZgO","['PfizerBioNTech', 'DHA', 'COVID19']",TweetDeck,1,5,FALSE
1448536219894358020,Zoezoezoe,"Gloucester, England",We're all in a game.. Just different levels.. Facing the same things just different devil's!!. Trust can be an issue hmm maybe,2021-05-01 21:08:32,7,129,63,FALSE,2021-10-14 06:28:41,I smile this world's in denile.. They're quick enough to duplicate the data.  Now take the consequences in your poc… https://t.co/0eB1XcRtHp,,Twitter for Android,0,0,FALSE
1448497253786603523,☁️,,04.01.2021 — carnitarian. We need to leave the ocean the fuck alone. Watch #Seaspiracy,2011-09-03 02:42:47,750,285,46931,FALSE,2021-10-14 03:53:51,"fully vaxxed na si baks! 💉

#GoodJab #PfizerBioNTech https://t.co/LjyfVFtXuN","['GoodJab', 'PfizerBioNTech']",Twitter for iPhone,0,0,FALSE
1448465164748001282,Yaffa Lyulka,USA,"Citizen of the world. ❤️ #Love #travel, #tea & #books. #RESIST #BLM #BidenHarris2020 💙 💙💙🌊🌊🌊 ✊🏾✊🏽✊🏼#Democrat!!",2010-11-27 20:45:15,7093,7777,310114,FALSE,2021-10-14 01:46:21,"I'm vaccinated. I still wear a mask.
I wear it everyday because I care about you. 

#Iamyou #Youareme… https://t.co/Waf7SZqzc3","['Iamyou', 'Youareme']",Twitter for iPhone,2,4,FALSE
1448409639037644803,Jacob Newton,,Journalist with KELOLAND News | Husband | Dad | He/Him | Opinions and statements are my own. Tips ➡️ jnewton@keloland.com,2019-12-25 16:23:26,95,100,330,FALSE,2021-10-13 22:05:42,"While the Pfizer-BioNTech vaccine has been authorized by the FDA for use in those 16 and older, many still have que… https://t.co/bchjtxgobC",,Twitter Web App,0,0,FALSE
1448385874203398147,Skull Of Syria,,Save Syria. Free Palestine. 2 State solution. Stop the wars. My body my choice: no GMO mRNA Nanoparticle poison for me or my children.,2016-10-05 21:12:43,369,972,1131,FALSE,2021-10-13 20:31:16,The #chemtrails finally make sense - alongside creating the #climatecatastrophe &gt;&gt; vitamin D deficiency key in vira… https://t.co/3OOxySOMY1,"['chemtrails', 'climatecatastrophe']",Twitter for Android,0,0,FALSE
1448379238785032194,one.small.wish,Ohio,"Old enough to know better, young enough to do it anyway. #ProudAmerican 🇺🇲 #Human #Justice #Resist 
Views are my own.",2009-10-21 18:27:09,801,2118,65303,FALSE,2021-10-13 20:04:54,"8. Pfizer's vaccine has been FDA-approved. Hm. What's that about being forced to take an ""unapproved"" vaccine?… https://t.co/81Kw6f5Tys",,Twitter Web App,0,1,FALSE
1448376675801055234,one.small.wish,Ohio,"Old enough to know better, young enough to do it anyway. #ProudAmerican 🇺🇲 #Human #Justice #Resist 
Views are my own.",2009-10-21 18:27:09,801,2118,65303,FALSE,2021-10-13 19:54:43,"Oh and hey: Update yourself: https://t.co/GGlearMilc
#PfizerBioNTech",['PfizerBioNTech'],Twitter Web App,0,1,FALSE
1448358770971643916,Pistache,,,2020-04-13 01:44:16,58,98,3522,FALSE,2021-10-13 18:43:34,2019🎞️https://t.co/mbNxvTvcHn Transplant tourism: China's dangerous new industry #COP15 #COP26 #COVID19… https://t.co/0lgCVak4eR,"['COP15', 'COP26', 'COVID19']",Twitter for Android,0,0,FALSE
1448357099193479169,"Sarah Tallent, DNP, CPNP-AC","North Carolina, USA",AC-PNP and instructor | family-centered care advocate | Duke single ventricle coordinator 💜 | coffee connoisseur | wife | mom 👶🏻🐶 | Opinions are my own.,2020-04-29 20:28:02,188,472,569,FALSE,2021-10-13 18:36:56,"Got that power boost 💉🦠 

I do it for myself, my family, my patients, my community  💜

#PfizerBiontech… https://t.co/twpvO9z98v",['PfizerBiontech'],Twitter for iPhone,1,3,FALSE
1448310047759642631,Antoine Haddad,,Expat since 2015,2021-07-14 09:00:03,652,310,5345,FALSE,2021-10-13 15:29:58,"Today I took my second shot of #PfizerBiontech, it literally took me 13 minutes from the moment I parked my car.

#UAE #Dubai 🇦🇪","['PfizerBiontech', 'UAE', 'Dubai']",Twitter for iPhone,1,33,FALSE
1448208383094312962,ActivistBowen (PFIZERED TO THE MAX!/GET VAXXED!),Hong Kong,"AMERICAN in HONG KONG, person, blogger, dissident, son, brother, friend NOT a 1-man show; RTs = IMPORTANCE, NOT NECESSARILY ENDORSEMENTS; disagree RESPECTFULLY",2011-06-08 20:17:01,3998,5002,5052,FALSE,2021-10-13 08:45:59,"@RCDG_PhD 1. from YOUR FELLOW HUMAN...,(October 7, 2021; 15:04 EDT) #FULLYVACCINATED #PFIZERBIONTECH #PFIZER","['FULLYVACCINATED', 'PFIZERBIONTECH', 'PFIZER']",Twitter Web App,0,0,FALSE
1448202162912129032,Baey Yam Keng 马炎庆,Singapore,"MP for Tampines GRC, Senior Parliamentary Secretary for Transport",2009-02-12 06:52:13,43500,266,893,TRUE,2021-10-13 08:21:16,"Just took my booster jab. Not sure if I would only have mild side effects like the first two. 

#covid_19… https://t.co/hVI5S3EDQM",['covid_19'],Twitter for iPhone,0,20,FALSE
1458291104931979264,CWright,,"Happily Married for 30 years to a great man!  
 Child & Animal protectionist !💯🇨🇦❤️#WelkommenAusLander #Barbaroi #socialNudgers will be BLOCKED",2010-09-03 04:17:58,1259,2359,30857,FALSE,2021-11-10 04:31:07,Calling all #GreatMemeCreators  #PfizerBiontech #monsters #dareYa to put them to #Shame !!!! https://t.co/kSo2a2ZuCt,"['GreatMemeCreators', 'PfizerBiontech', 'monsters', 'dareYa', 'Shame']",Twitter Web App,0,0,FALSE
1456959931765207043,Dr. Scott Fortune,"Nashville, Tn",ABOto FAAOA Rhinology & Allergy Ed Cmte BOG Legislative Affairs Cmte @AAOHNS Live Events Cmte @AmRhinoSociety #officebasedrhinology #minimallyinvasiverhinology,2013-11-21 19:04:50,994,1169,4451,FALSE,2021-11-06 12:21:31,COVID-19 vaccine boosters mix and match: What the evidence shows @ama-assn.org  I used this strategy for my… https://t.co/cCTLGE2t6W,,Twitter for iPhone,0,2,FALSE
1456953439380901897,rennnnnn,Imus,20,2014-08-05 13:19:28,87,80,527,FALSE,2021-11-06 11:55:43,done 1st dose #pfizerbiontech,['pfizerbiontech'],Twitter for Android,0,0,FALSE
1456792068747972612,theSun,Petaling Jaya,Breaking news updates from the website of Malaysia's free and largest circulating urban newspaper. Like Thesundaily on Facebook & Instagram.,2009-07-29 01:58:44,151549,465,575,FALSE,2021-11-06 01:14:29,"The number of Covid-19 cases as of 05 November 2021.

Remember to observe safety and protective measures when you’r… https://t.co/f1I1KEhUVL",,Twitter Web App,1,0,FALSE
1456743816195559426,団子侍,,"最近、インコちゃんの動画にハマってます🐣🥰
mRNAワクチンを信用していません。マスメディアや政府のワクチン押しに不信感が高まっています。子供のワクチン接種は辞めて欲しい😥",2014-11-20 15:53:38,14,41,436,FALSE,2021-11-05 22:02:45,"@RWMaloneMD In the United States, we have seen reports that the Pfizer vaccine has been urgently approved for child… https://t.co/3QBRiagFkm",,Twitter for Android,0,0,FALSE
1456709927699984387,Top 10 Stocks,read Disclosure/Disclaimer,America's #1 Daily Deals Network. DO NOT trade WITHOUT it!®  Discover New Ways to Make More Money Everyday!®   Sign-Up in 17 seconds! it's FREE! Questions? DM,2009-05-03 03:34:32,3042,1943,846,FALSE,2021-11-05 19:48:05,"$BNTX May Sue $PFE over tremendous losses it suffered, Unless there is a #Profit sharing agreement between the two… https://t.co/p6BX7NMImx",['Profit'],Twitter Web App,1,1,FALSE
